Senator the Hon Kate Lundy		25/3/2013	Minister for Sport 
Senator the Hon Kate Lundy		25/3/2013	Minister for Multicultural Affairs 
Senator the Hon Kate Lundy		25/3/2013	Minister Assisting for Industry and Innovation
The Hon Mike Kelly, AM, MP		25/3/2013	Minister for Defence Materiel
Senator the Hon Jacinta Collins	25/3/2013	Parliamentary Secretary for School Education and Workplace Relations
Senator the Hon Jacinta Collins	25/3/2013	Manager of Government Business in the Senate
Senator the Hon David Feeney	25/3/2013	Parliamentary Secretary for Defence
The Hon Sid Sidebottom, MP		25/3/2013	Parliamentary Secretary for Agriculture, Fisheries and Forestry
The Hon Yvette D'Ath, MP		25/3/2013	Parliamentary Secretary for Climate Change and Energy Efficiency
The Hon Kelvin Thomson, MP		25/3/2013	Parliamentary Secretary for Trade
The Hon Melissa Parke			25/3/2013	Parliamentary Secretary for Mental Health, Homelessness and Social Housing
The Hon Gary Gray, AO, MP   	25/3/2013	Minister for Resources and Energy
The Hon Gary Gray, AO, MP		25/3/2013	Minister for Tourism
The Hon Gary Gray, AO, MP		25/3/2013	Minister for Small Business
Mark Dreyfus					25/3/2013	Special Minister of State
Mark Dreyfus					25/3/2013	Minister for the Public Service and Integrity
The Hon Tony Burke, MP			25/3/2013	Minister for the Arts
The Hon Dr Craig Emerson, MP	25/3/2013	Minister for Tertiary Education, Skills, Science and Research.
Amanda Rishworth				25/3/2013	Parliamentary Secretary for Sustainability and Urban Water
Andrew Leigh					25/3/2013	Parliamentary Secretary to the Prime Minister
Amanda Rishworth				25/3/2013	Parliamentary Secretary for Disabilities and Carers
Senator the Hon Jan McLucas		25/3/2013	Minister for Human Services
The Hon Greg Combet, AM, MP		25/3/2013	Minister for Climate Change, Industry and Innovation
Matt Thistlethwaite				25/3/2013	Parliamentary Secretary for Pacific Island Affairs
Anthony Albanese 				25/3/2013	Minister for Regional Development and Local Government
Shayne Neumann					25/3/2013	Parliamentary Secretary for Health and Ageing
Bernie Ripoll					25/3/2013	Parliamentary Secretary for Small Business
The Hon Catherine King, MP		25/3/2013	Minister for Road Safety
The Hon Catherine King, MP 		25/3/2013	Minister for Regional Services, Local Communities and Territories
Michael Danby					25/3/2013	Parliamentary Secretary for Arts
Don Farrell						25/3/2013	Minister Assisting for Science and Research
Don Farrell						25/3/2013	Minister Assisting on Tourism
The Hon Sharon Bird, MP			25/3/2013	Minister for Higher Education and Skills
Matt Thistlethwaite				25/3/2013	Parliamentary Secretary for Multicultural Affairs
Shayne Neumann					25/3/2013	Parliamentary Secretary to the Attorney-General
