"Name","From","To","Shadow Ministers"
"Bob Baldwin",14/09/2010,18/09/2013,"Shadow Minister Regional Development"
"Bob Horne",20/10/1998,23/11/2001,"Parliamentary Secretary to the Shadow Minister for Regional Development, Infrastructure, Transport and Regional Services"
"Bob McMullan",09/03/2007,06/12/2007,"Deputy Manager of Opposition Business in the House"
"Bob McMullan",20/10/1998,23/11/2001,"Manager of Opposition Business"
"Bob McMullan",05/09/2000,23/11/2001,"Shadow Minister for Aboriginal and Torres Strait Islander Affairs"
"Bob McMullan",10/12/2006,06/12/2007,"Shadow Minister for Federal/State Relations"
"Bob McMullan",23/08/2002,18/02/2003,"Shadow Minister for Finance and Small Business"
"Bob McMullan",08/12/2003,25/10/2004,"Shadow Minister for Finance and Small Business"
"Bob McMullan",02/07/2003,08/12/2003,"Shadow Minister for Finance, Shadow Minister for Cabinet and Shadow Minister for Reconciliation and Indigenous Affairs"
"Bob McMullan",20/10/1998,05/09/2000,"Shadow Minister for Industry and Technology"
"Bob McMullan",10/12/2006,06/12/2007,"Shadow Minister for International Development Assistance"
"Bob McMullan",05/09/2000,23/11/2001,"Shadow Minister for Reconciliation"
"Bob McMullan",05/09/2000,23/11/2001,"Shadow Minister for the Arts"
"Bob McMullan",06/12/2002,02/07/2003,"Shadow Minister for the Arts"
"Bob McMullan",23/11/2001,23/08/2002,"Shadow Minister for Treasury, Finance and Small Business"
"Bob McMullan",23/08/2002,02/07/2003,"Shadow Treasurer"
"Bob Sercombe",20/10/1998,05/09/2000,"House of Representatives Deputy Opposition Whip"
"Bob Sercombe",24/06/2005,10/12/2006,"Shadow Minister for Overseas Aid and Pacific Island Affairs"
"Bob Sercombe",26/10/2004,24/06/2005,"Shadow Minister for Pacific Islands"
"Brendan Nelson",06/12/2007,22/09/2008,"Leader of the Opposition"
"Brendan O'Connor",10/12/2006,06/12/2007,"Shadow Parliamentary Secretary for Industrial Relations"
"Bronwyn Bishop",08/12/2009,18/09/2013,"Shadow Minister for Seniors"
"Bronwyn Bishop",06/12/2007,22/09/2008,"Shadow Minister for Veterans' Affairs"
"Bronwyn Bishop",14/09/2010,18/09/2013,"Shadow Special Minister of State"
"Bruce Billson",06/12/2007,22/09/2008,"Shadow Minister for Broadband, Communication and the Digital Economy"
"Bruce Billson",14/09/2010,18/09/2013,"Shadow Minister for Small Business, Competition Policy and Consumer Affairs"
"Bruce Billson",08/12/2009,14/09/2010,"Shadow Minister for Small Business, Deregulation, Competition Policy and Sustainable Cities"
"Bruce Billson",22/09/2008,08/12/2009,"Shadow Minister for Sustainable Development and Cities"
"Carmen Lawrence",20/03/1996,26/08/1997,"Assistant to the Leader of the Opposition on the Status of Women"
"Carmen Lawrence",05/09/2000,23/11/2001,"Shadow Minister for Industry, Innovation and Technology"
"Carmen Lawrence",23/11/2001,05/12/2002,"Shadow Minister for Reconciliation, Aboriginal and Torres Strait Islander Affairs"
"Carmen Lawrence",20/03/1996,26/08/1997,"Shadow Minister for the Arts"
"Carmen Lawrence",23/11/2001,05/12/2002,"Shadow Minister for the Arts"
"Carmen Lawrence",20/03/1996,26/08/1997,"Shadow Minister for the Environment"
"Carmen Lawrence",05/09/2000,05/12/2002,"Shadow Minister for the Status of Women"
"Catherine King",26/10/2004,24/06/2005,"Shadow Parliamentary Secretary for Regional Development (House)"
"Catherine King",24/06/2005,06/12/2007,"Shadow Parliamentary Secretary for Treasury"
"Cheryl Kernot",03/10/1999,23/11/2001,"Shadow Minister for Employment and Training"
"Cheryl Kernot",20/10/1998,03/10/1999,"Shadow Minister for Regional Development, Infrastructure, Transport and Regional Services"
"Chris Bowen",10/12/2006,06/12/2007,"Shadow Assistant Treasurer"
"Chris Bowen",10/12/2006,06/12/2007,"Shadow Minister for Revenue and Competition Policy"
"Chris Pearce",22/09/2008,08/12/2009,"Shadow Minister for Financial Services, Superannuation and Corporate Law"
"Chris Pyne",16/02/2009,08/12/2009,"Manager of Opposition Business in the House"
"Chris Pyne",06/12/2007,22/09/2008,"Shadow Minister Assisting the Shadow Minister for Immigration and Citizenship"
"Chris Pyne",06/12/2007,22/09/2008,"Shadow Minister for Border Protection"
"Chris Pyne",22/09/2008,08/12/2009,"Shadow Minister for Education, Apprenticeships and Training"
"Chris Pyne",06/12/2007,22/09/2008,"Shadow Minister for Justice"
"Christian Zahra",23/11/2001,23/08/2002,"Parliamentary Secretary to the Shadow Minister for Communications"
"Christian Zahra",23/08/2002,18/02/2003,"Shadow Parliamentary Secretary (Communications)"
"Christian Zahra",02/07/2003,08/12/2003,"Shadow Parliamentary Secretary (Regional Development, Transport, Infrastructure and Tourism)"
"Christian Zahra",08/12/2003,25/10/2004,"Shadow Parliamentary Secretary (Urban and Regional Development, Transport, Infrastructure and Tourism)"
"Christian Zahra",18/02/2003,02/07/2003,"Shadow Parliamentary Secretary Regional Development, Transport, Infrastructure and Tourism"
"Christopher Pyne",08/12/2009,18/09/2013,"Manager of Opposition Business in the House"
"Christopher Pyne",08/12/2009,18/09/2013,"Shadow Minister for Education, Apprenticeships and Training"
"Con Sciacca",20/10/1998,23/11/2001,"Shadow Minister Assisting the Leader of the Opposition on Multicultural Affairs"
"Con Sciacca",20/10/1998,23/11/2001,"Shadow Minister for Immigration"
"Craig Emerson",23/08/2002,02/07/2003,"Shadow Minister for Innovation, Industry and Trade"
"Craig Emerson",23/11/2001,23/08/2002,"Shadow Minister for Innovation, Industry, Trade and Tourism"
"Craig Emerson",10/12/2006,06/12/2007,"Shadow Minister for Service Economy, Small Business and Independent Contractors"
"Craig Emerson",02/07/2003,08/12/2003,"Shadow Minister for Workplace Relations"
"Craig Emerson",08/12/2003,25/10/2004,"Shadow Minister for Workplace Relations and the Public Service"
"Darren Chester",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for Roads and Regional Transport"
"Daryl Melham",20/03/1996,21/10/1998,"Assistant to the Shadow Foreign Minister on Arms Control"
"Daryl Melham",20/03/1996,21/10/1998,"Shadow Minister for Aboriginal Affairs"
"Daryl Melham",20/10/1998,03/10/1999,"Shadow Minister for Aboriginal and Torres Strait Islander Affairs,"
"Daryl Melham",02/07/2003,08/12/2003,"Shadow Minister for Heritage and Territories"
"Daryl Melham",08/12/2003,25/10/2004,"Shadow Minister for Housing, Urban Development and Local Government"
"Daryl Melham",23/11/2001,02/07/2003,"Shadow Minister for Justice and Customs"
"Daryl Melham",20/10/1998,03/10/1999,"Shadow Minister for Reconciliation"
"David Cox",23/08/2002,25/10/2004,"Assistant Shadow Treasurer"
"David Cox",23/11/2001,23/08/2002,"Shadow Minister for Employment Services and Training"
"David Cox",08/12/2003,25/10/2004,"Shadow Minister for Revenue"
"Don Randall",06/12/2007,22/09/2008,"Shadow Cabinet Secretary"
"Don Randall",06/12/2007,22/09/2008,"Shadow Parliamentary Secretary Assisting the Leader of the Opposition"
"Don Randall",22/09/2008,08/12/2009,"Shadow Parliamentary Secretary for Energy and Resources"
"Don Randall",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for Local Government"
"Don Randall",08/12/2009,14/09/2010,"Shadow Parliamentary Secretary for Roads and Transport"
"Dr Andrew Laming MP",03/03/2011,18/09/2013,"Shadow Parliamentary Secretary for Regional Health Services and Indigenous Health"
"Dr Andrew Southcott MP",03/03/2011,18/09/2013,"Shadow Parliamentary Secretary for Primary Healthcare"
"Duncan Kerr",20/03/1996,26/08/1997,"Assistant to the Leader of the Opposition on Multicultural Affairs"
"Duncan Kerr",05/09/2000,23/11/2001,"Shadow Minister Assisting the Shadow Minister for Population"
"Duncan Kerr",20/03/1996,27/03/1997,"Shadow Minister for Immigration"
"Duncan Kerr",20/10/1998,23/11/2001,"Shadow Minister for Justice and Customs"
"Duncan Kerr",27/03/1997,26/08/1997,"Shadow Minister for Population and Immigration"
"Duncan Kerr",20/10/1998,05/09/2000,"Shadow Minister for the Arts"
"Duncan Kerr",26/08/1997,21/10/1998,"Shadow Minister for the Environment"
"Gareth John Evans",20/03/1996,21/10/1998,"Deputy Leader of the Opposition"
"Gareth John Evans",20/03/1996,21/10/1998,"Shadow Treasurer"
"Gavan O'Connor",20/03/1996,21/10/1998,"Parliamentary Secretary to the Leader of the Opposition"
"Gavan O'Connor",27/03/1997,21/10/1998,"Parliamentary Secretary to the Shadow Minister for Primary Industries"
"Gavan O'Connor",08/12/2003,10/12/2006,"Shadow Minister for Agriculture and Fisheries"
"Gavan O'Connor",20/10/1998,23/11/2001,"Shadow Minister for Agriculture, Fisheries and Forestry"
"Gavan O'Connor",02/07/2003,08/12/2003,"Shadow Minister for Housing"
"Gavan O'Connor",02/07/2003,08/12/2003,"Shadow Minister for Local Government"
"Gavan O'Connor",02/07/2003,08/12/2003,"Shadow Minister for Regional Services"
"Gavan O'Connor",23/11/2001,23/08/2002,"Shadow Minister for Regional Services, Territories and Local Government"
"Gavan O'Connor",23/08/2002,02/07/2003,"Shadow Minister for Regional Services, Territories, Local Government and Tourism"
"Graham Edwards",24/06/2005,06/12/2007,"Shadow Parliamentary Secretary (Defence and Veterans' Affairs)"
"Graham Edwards",23/11/2001,24/06/2005,"Shadow Parliamentary Secretary (Defence)"
"Greg Hunt",08/12/2009,18/09/2013,"Shadow Minister for Climate Action, Environment and Heritage"
"Greg Hunt",06/12/2007,22/09/2008,"Shadow Minister for Climate Change, Environment and Urban Water"
"Greg Hunt",22/09/2008,08/12/2009,"Shadow Minister for Climate Change, Environment and Water"
"Hon Tony Smith MP",03/03/2011,18/09/2013,"Deputy Chairman, Coalition Policy Development Committee"
"Hon Tony Smith MP",03/03/2011,18/09/2013,"Shadow Parliamentary Secretary for Tax Reform"
"Ian MacFarlane",22/09/2008,08/12/2009,"Shadow Minister for Energy and Resources"
"Ian MacFarlane",14/09/2010,18/09/2013,"Shadow Minister for Energy and Resources"
"Ian Macfarlane",08/12/2009,14/09/2010,"Shadow Minister for Infrastructure and Water"
"Ian MacFarlane",06/12/2007,22/09/2008,"Shadow Minister for Trade"
"Jamie Briggs",14/09/2010,18/09/2013,"Chairman of the Scrutiny of Government Waste Committee"
"Jason Wood",22/09/2008,08/12/2009,"Shadow Parliamentary Secretary for Justice and Public Security"
"Jason Wood",08/12/2009,14/09/2010,"Shadow Parliamentary Secretary for Public Security and Policing"
"Jennie George",26/10/2004,06/12/2007,"Shadow Parliamentary Secretary for Environment and Heritage"
"Jenny Macklin",26/08/1997,21/10/1998,"Assistant to the Leader of the Opposition on the Status of Women"
"Jenny Macklin",23/11/2001,04/12/2006,"Deputy Leader of the Opposition"
"Jenny Macklin",20/03/1996,27/03/1997,"Shadow Minister for Aged, Family and Community Services"
"Jenny Macklin",26/10/2004,10/12/2006,"Shadow Minister for Education, Training, Science and Research"
"Jenny Macklin",02/07/2003,25/10/2004,"Shadow Minister for Employment, Education and Training"
"Jenny Macklin",23/11/2001,02/07/2003,"Shadow Minister for Employment, Education, Training and Science"
"Jenny Macklin",10/12/2006,06/12/2007,"Shadow Minister for Families and Community Services"
"Jenny Macklin",20/10/1998,23/11/2001,"Shadow Minister for Health"
"Jenny Macklin",10/12/2006,06/12/2007,"Shadow Minister for Indigenous Affairs and Reconciliation"
"Jenny Macklin",26/08/1997,21/10/1998,"Shadow Minister for Social Security and the Aged"
"Jenny Macklin",27/03/1997,26/08/1997,"Shadow Minister for Social Security, the Aged and Family Services"
"Jenny Macklin",20/10/1998,05/09/2000,"Shadow Minister for the Status of Women"
"Jenny Macklin",06/12/2002,18/02/2003,"Shadow Minister for the Status of Women"
"Joanna Gash",06/12/2007,22/09/2008,"Shadow Parliamentary Secretary for Tourism"
"Joanna Gash",08/12/2009,14/09/2010,"Shadow Parliamentary Secretary for Tourism"
"Joe Hockey",06/12/2007,16/02/2009,"Manager of Opposition Business in the House"
"Joe Hockey",22/09/2008,16/02/2009,"Shadow Minister for Finance, Competition Policy and Deregulation"
"Joe Hockey",06/12/2007,22/09/2008,"Shadow Minister for Health and Ageing"
"Joe Hockey",16/02/2009,18/09/2013,"Shadow Treasurer"
"Joel Fitzgibbon",26/10/2004,10/12/2006,"Shadow Assistant Treasurer and Revenue"
"Joel Fitzgibbon",26/10/2004,24/06/2005,"Shadow Minister for Banking and Financial Services"
"Joel Fitzgibbon",10/12/2006,06/12/2007,"Shadow Minister for Defence"
"Joel Fitzgibbon",08/12/2003,25/10/2004,"Shadow Minister for Mining, Energy and Forestry"
"Joel Fitzgibbon",23/11/2001,08/12/2003,"Shadow Minister for Resources"
"Joel Fitzgibbon",24/06/2005,10/12/2006,"Shadow Minister for Small Business and Competition"
"Joel Fitzgibbon",20/10/1998,23/11/2001,"Shadow Minister for Small Business and Tourism"
"Joel Fitzgibbon",02/07/2003,08/12/2003,"Shadow Minister for Tourism"
"John Cobb",14/09/2010,18/09/2013,"Shadow Minister for Agriculture and Food Security"
"John Cobb",22/09/2008,08/12/2009,"Shadow Minister for Agriculture, Fisheries and Forestry"
"John Cobb",08/12/2009,14/09/2010,"Shadow Minister for Agriculture, Food Security, Fisheries and Forestry"
"John Cobb",06/12/2007,22/09/2008,"Shadow Minister for Regional Development"
"John Cobb",06/12/2007,22/09/2008,"Shadow Minister for Water Security"
"John Forrest",22/09/2008,08/12/2009,"Shadow Parliamentary Secretary for Regional Development"
"John Forrest",06/12/2007,22/09/2008,"Shadow Parliamentary Secretary for Trade"
"John Murphy",18/02/2003,10/12/2006,"Parliamentary Secretary to the Leader of the Opposition"
"John Murphy",23/11/2001,23/08/2002,"Parliamentary Secretary to the Shadow Minister for Health and Ageing"
"John Murphy",23/08/2002,18/02/2003,"Shadow Parliamentary Secretary (Health and Ageing)"
"John Murphy",10/12/2006,06/12/2007,"Shadow Parliamentary Secretary to the Leader of the Opposition"
"Julia Gillard",04/12/2006,06/12/2007,"Deputy Leader of the Opposition"
"Julia Gillard",02/07/2003,08/12/2003,"Deputy Manager of Opposition Business in the House"
"Julia Gillard",08/12/2003,16/03/2004,"Manager of Opposition Business in the House"
"Julia Gillard",03/08/2004,24/06/2005,"Manager of Opposition Business in the House"
"Julia Gillard",10/12/2006,06/12/2007,"Shadow Minister for Employment and Industrial Relations"
"Julia Gillard",02/07/2003,16/03/2004,"Shadow Minister for Health"
"Julia Gillard",03/08/2004,24/06/2005,"Shadow Minister for Health"
"Julia Gillard",16/03/2004,03/08/2004,"Shadow Minister for Health and Manager of Opposition Business in the House"
"Julia Gillard",24/06/2005,10/12/2006,"Shadow Minister for Health and Manager of Opposition Business in the House"
"Julia Gillard",23/11/2001,02/07/2003,"Shadow Minister for Population and Immigration"
"Julia Gillard",18/02/2003,02/07/2003,"Shadow Minister for Reconciliation and Indigenous Affairs"
"Julia Gillard",10/12/2006,06/12/2007,"Shadow Minister for Social Inclusion"
"Julie Bishop",06/12/2007,18/09/2013,"Deputy Leader of the Opposition"
"Julie Bishop",06/12/2007,22/09/2008,"Shadow Minister for Employment, Business and Workplace Relations"
"Julie Bishop",16/02/2009,18/09/2013,"Shadow Minister for Foreign Affairs"
"Julie Bishop",14/09/2010,18/09/2013,"Shadow Minister for Trade"
"Julie Bishop",22/09/2008,16/02/2009,"Shadow Treasurer"
"Kelvin Thomson",10/12/2006,09/03/2007,"Deputy Manager of Opposition Business in the House"
"Kelvin Thomson",26/08/1997,21/10/1998,"Parliamentary Secretary to the Shadow Minister for Population and Immigration"
"Kelvin Thomson",26/08/1997,21/10/1998,"Parliamentary Secretary to the Shadow Treasurer"
"Kelvin Thomson",20/10/1998,23/11/2001,"Shadow Assistant Treasurer"
"Kelvin Thomson",10/12/2006,09/03/2007,"Shadow Attorney-General"
"Kelvin Thomson",23/11/2001,18/02/2003,"Shadow Minister for Environment and Heritage"
"Kelvin Thomson",24/06/2005,10/12/2006,"Shadow Minister for Public Accountability and Human Services"
"Kelvin Thomson",18/02/2003,08/12/2003,"Shadow Minister for Sustainability and the Environment"
"Kelvin Thomson",08/12/2003,25/10/2004,"Shadow Minister for Sustainability, the Environment and Heritage"
"Kelvin Thomson",26/10/2004,24/06/2005,"Shadow Minister Regional Development and Roads, Housing and Urban Development"
"Kevin Andrews",08/12/2009,18/09/2013,"Shadow Minister for Families, Housing and Human Services"
"Kevin Rudd",04/12/2006,06/12/2007,"Leader of the Opposition"
"Kevin Rudd",23/11/2001,08/12/2003,"Shadow Minister for Foreign Affairs"
"Kevin Rudd",08/12/2003,25/10/2004,"Shadow Minister for Foreign Affairs and International Security"
"Kevin Rudd",24/06/2005,10/12/2006,"Shadow Minister for Foreign Affairs and Trade and International Security"
"Kevin Rudd",26/10/2004,24/06/2005,"Shadow Minister Foreign Affairs and International Security"
"Kim Beazley",20/03/1996,23/11/2001,"Leader of the Opposition"
"Kim Beazley",28/01/2005,04/12/2006,"Leader of the Opposition"
"Kim Beazley",03/08/2004,25/10/2004,"Shadow Minister for Defence"
"Kirsten Livermore",23/11/2001,23/08/2002,"Parliamentary Secretary to the Shadow Minister for Environment and Heritage"
"Kirsten Livermore",16/03/2004,25/10/2004,"Shadow Parliamentary Secretary (Employment, Education and Training)"
"Kirsten Livermore",23/08/2002,02/07/2003,"Shadow Parliamentary Secretary (Environment and Heritage)"
"Kirsten Livermore",02/07/2003,08/12/2003,"Shadow Parliamentary Secretary (Heritage)"
"Kirsten Livermore",08/12/2003,16/03/2004,"Shadow Parliamentary Secretary (Sustainability, the Environment and Heritage)"
"Kirsten Livermore",26/10/2004,06/12/2007,"Shadow Parliamentary Secretary for Education"
"Laurence John Brereton",20/03/1996,23/11/2001,"Shadow Minister for Foreign Affairs"
"Laurie Ferguson",20/03/1996,27/03/1997,"Shadow Minister for Administrative Services"
"Laurie Ferguson",23/08/2002,08/12/2003,"Shadow Minister for Citizenship and Multicultural Affairs"
"Laurie Ferguson",24/06/2005,10/12/2006,"Shadow Minister for Consumer Affairs"
"Laurie Ferguson",26/08/1997,23/11/2001,"Shadow Minister for Defence Science and Personnel"
"Laurie Ferguson",20/10/1998,23/11/2001,"Shadow Minister for Forestry and Conservation"
"Laurie Ferguson",26/10/2004,24/06/2005,"Shadow Minister for Immigration"
"Laurie Ferguson",23/11/2001,23/08/2002,"Shadow Minister for Multicultural Affairs"
"Laurie Ferguson",10/12/2006,06/12/2007,"Shadow Minister for Multicultural Affairs, Urban Development and Consumer Affairs"
"Laurie Ferguson",24/06/2005,10/12/2006,"Shadow Minister for Population Health and Health Regulation"
"Laurie Ferguson",08/12/2003,25/10/2004,"Shadow Minister for Population, Citizenship and Multicultural Affairs"
"Laurie Ferguson",26/08/1997,21/10/1998,"Shadow Minister for Veterans' Affairs"
"Laurie Ferguson",27/03/1997,26/08/1997,"Shadow Minister for Veterans' Affairs, Defence Science and Personnel"
"Leo McLeay",20/03/1996,21/10/1998,"Chief Opposition Whip"
"Leo McLeay",20/10/1998,05/09/2000,"Chief Opposition Whip in the House of Representatives"
"Leo McLeay",20/03/1996,05/09/2000,"Deputy Manager of Opposition Business"
"Lindsay Tanner",23/11/2001,25/10/2004,"Shadow Minister for Communications"
"Lindsay Tanner",29/01/2004,25/10/2004,"Shadow Minister for Community Relationships"
"Lindsay Tanner",20/10/1998,23/11/2001,"Shadow Minister for Consumer Affairs"
"Lindsay Tanner",20/10/1998,23/11/2001,"Shadow Minister for Finance"
"Lindsay Tanner",24/06/2005,06/12/2007,"Shadow Minister for Finance"
"Lindsay Tanner",20/03/1996,21/10/1998,"Shadow Minister for Transport"
"Louise Markus",22/09/2008,14/09/2010,"Shadow Minister for Veterans' Affairs"
"Louise Markus",06/12/2007,22/09/2008,"Shadow Parliamentary Secretary for Immigration and Citizenship"
"Luke Hartsuyker",06/12/2007,22/09/2008,"Deputy Leader of Opposition Business in the House"
"Luke Hartsuyker",22/09/2008,18/09/2013,"Deputy Manager of Opposition Business in the House"
"Luke Hartsuyker",06/12/2007,22/09/2008,"Shadow Minister for Business Development, Independent Contractors and Consumer Affairs"
"Luke Hartsuyker",22/09/2008,08/12/2009,"Shadow Minister for Competition Policy and Consumer Affairs"
"Luke Hartsuyker",08/12/2009,14/09/2010,"Shadow Minister for Consumer Affairs, Financial Services, Superannuation and Corporate Law"
"Luke Hartsuyker",14/09/2010,18/09/2013,"Shadow Minister for Regional Communications"
"Luke Hartsuyker",14/09/2010,18/09/2013,"Shadow Minister for Youth and Sport"
"Malcolm Turnbull",16/09/2008,01/12/2009,"Leader of the Opposition"
"Malcolm Turnbull",14/09/2010,18/09/2013,"Shadow Minister for Communications and Broadband"
"Malcolm Turnbull",06/12/2007,22/09/2008,"Shadow Treasurer"
"Margaret May",06/12/2007,08/12/2009,"Shadow Minister for Ageing"
"Mark Coulton",06/12/2007,22/09/2008,"Shadow Parliamentary Secretary for Ageing and the Voluntary Sector"
"Mark Coulton",08/12/2009,14/09/2010,"Shadow Parliamentary Secretary for Regional Development and Emerging Trade Markets"
"Mark Latham",23/11/2001,23/08/2002,"Assistant Shadow Treasurer"
"Mark Latham",20/03/1996,27/03/1997,"Assistant to the Shadow Treasurer"
"Mark Latham",08/12/2003,28/01/2005,"Leader of the Opposition"
"Mark Latham",02/07/2003,08/12/2003,"Manager of Opposition Business in the House"
"Mark Latham",20/03/1996,27/03/1997,"Shadow Minister for Competition Policy"
"Mark Latham",23/11/2001,23/08/2002,"Shadow Minister for Economic Ownership"
"Mark Latham",18/02/2003,02/07/2003,"Shadow Minister for Economic Ownership and Community Security"
"Mark Latham",23/08/2002,18/02/2003,"Shadow Minister for Economic Ownership, Housing and Urban Development and Community Security"
"Mark Latham",27/03/1997,21/10/1998,"Shadow Minister for Education and Youth Affairs"
"Mark Latham",20/03/1996,27/03/1997,"Shadow Minister for Local Government"
"Mark Latham",23/11/2001,23/08/2002,"Shadow Minister for Urban Development and Housing"
"Mark Latham",02/07/2003,08/12/2003,"Shadow Treasurer"
"Mark Maclean Coulton",23/01/2009,08/12/2009,"Shadow Parliamentary Secretary for Water Resources and Conservation"
"Martin Ferguson",26/08/1997,21/10/1998,"Assistant to the Leader of the Opposition on Multicultural Affairs"
"Martin Ferguson",20/03/1996,26/08/1997,"Shadow Minister for Employment and Training"
"Martin Ferguson",20/10/1998,03/10/1999,"Shadow Minister for Employment, Training and Population"
"Martin Ferguson",26/08/1997,21/10/1998,"Shadow Minister for Employment, Training, Population and Immigration"
"Martin Ferguson",26/10/2004,24/06/2005,"Shadow Minister for Primary Industries, Resources and Tourism"
"Martin Ferguson",24/06/2005,10/12/2006,"Shadow Minister for Primary Industries, Resources, Forestry and Tourism"
"Martin Ferguson",23/11/2001,23/08/2002,"Shadow Minister for Regional and Urban Development, Transport and Infrastructure"
"Martin Ferguson",03/10/1999,23/11/2001,"Shadow Minister for Regional Development, Infrastructure, Transport, Regional Services and Population"
"Martin Ferguson",23/08/2002,02/07/2003,"Shadow Minister for Regional Development, Transport, Infrastructure and Tourism"
"Martin Ferguson",02/07/2003,25/10/2004,"Shadow Minister for Transport and Infrastructure"
